r,pop_tarts r, r,96.0 r,370.0 r,9.0 r,3.0 r,0.0 r,0.0 r,0.39 r,67.0 r,1.0 r,35.0 r,33.0 r,5.0 r,0.03 r,0.0015 r,0.15 r,0.0 r,4e-05 r,0.0 r,0.0 
r,turkey_sticks r, r,32.0 r,80.0 r,5.0 r,2.0 r,0.0 r,0.025 r,0.33 r,2.0 r,0.0 r,0.0 r,0.0 r,7.0 r,0.02 r,0.0004 r,0.0 r,0.0 r,0.0 r,0.0 r,0.0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
r,planters_peanuts r, r,28.0 r,200.0 r,21.0 r,2.0 r,0.0 r,0.0 r,0.05 r,4.0 r,3.0 r,1.0 r,0.0 r,3.0 r,0.0 r,0.0007 r,0.12 r,0.0 r,0.00015 r,0.0 r,0.0 
r,buddig_beef r, r,56.0 r,100.0 r,7.0 r,3.0 r,0.0 r,4000.0 r,0.6 r,1.0 r,0.0 r,1.0 r,0.0 r,9.0 r,0.0 r,0.0012 r,0.0 r,0.0 r,0.0 r,0.0 r,0.0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
r,wolf_brand_chili_no_beans r, r,425.0 r,590.0 r,33.0 r,12.0 r,1.0 r,0.065 r,1.67 r,48.0 r,12.0 r,5.0 r,3.0 r,26.0 r,0.14 r,0.0047 r,1.09 r,0.0 r,0.0 r,0.0 r,0.0 
