r,pop_tarts r, r,-2000.0 r,400.0 r,-2000.0 r,3.0 r,0.0 r,-2000.0 r,2.0 r,67.0 r,1.0 r,-2000.0 r,-2000.0 r,5.0 r,0.03 r,0.0011 r,0.15 r,-2000.0 r,2.0 r,-2000.0 r,0.0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 
